Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
F44,FROAD,2781848.233,486260.68,98.987
F45,FROAD,2781850.634,486261.711,99.02
F46,FROAD,2781850.634,486261.711,99.02
F47,FROAD,2781849.09,486258.259,99.096
F48,FROAD,2781841.978,486249.668,99.172
F49,FROAD,2781844.027,486250.24,99.137
F65,FROAD EDGE,2781848.005,486231.23,98.057
F66,FROAD EDGE,2781838.565,486235.44,98.475
F67,FROAD EDGE,2781833.967,486232.555,98.497
F68,FROAD EDGE,2781839.365,486230.659,98.363
F69,FROAD EDGE,2781815.803,486237.644,99.362
F70,FROAD EDGE,2781809.337,486239.492,99.534
F71,FROAD EDGE,2781825.127,486234.731,98.854
F72,FROAD EDGE,2781835.133,486231.15,98.434
F73,FROAD EDGE,2781838.993,486230.118,98.364
F74,FROAD EDGE,2781841.756,486228.921,98.297
E,CP,2781890.1,486286.031,99.097
F,CP,2781827.962,486252.029,98.944
E13,Ebrickline,2781895.127,486287.929,99.085
E14,Ebrickline,2781896.28,486284.516,99.041
E15,Ebrickline,2781892.542,486296.346,98.938
E16,Ebrickline,2781888.586,486294.607,98.969
E17,Ebrickline,2781889.87,486291.004,99.002
E18,Ebrickline,2781887.643,486286.155,99.136
E19,Ebrickline,2781885.046,486292.965,99.032
E20,Ebrickline,2781881.662,486291.401,99.032
E21,Ebrickline,2781884.221,486285.079,99.185
E22,Ebrickline,2781896.175,486284.179,99.056
E23,Ebrickline,2781895.26,486283.87,99.066
E24,Ebrickline,2781896.42,486279.39,99.013
E25,Ebrickline,2781897.334,486279.588,99.004
E26,Ebrickline,2781892.229,486276.829,99.04
E27,Ebrickline,2781893.693,486277.144,99.038
E28,Ebrickline,2781889.88,486269.571,99.316
E29,Ebrickline,2781888.72,486270.145,99.284
E30,Ebrickline,2781894.711,486267.084,99.566
E31,Ebrickline,2781893.574,486265.144,99.558
E32,Ebrickline,2781879.661,486271.673,98.999
E33,Ebrickline,2781881.103,486273.96,98.994
E34,Ebrickline,2781880.928,486274.337,98.995
E35,Ebrickline,2781878.077,486274.989,98.985
E36,Ebrickline,2781879.193,486271.8,98.986
E37,Ebrickline,2781877.755,486270.972,98.967
E38,Ebrickline,2781875.175,486273.689,99.117
E39,Ebrickline,2781874.491,486274.537,99.128
E40,Ebrickline,2781877.52,486276.043,99.159
E41,Ebrickline,2781875.827,486279.46,99.206
E42,Ebrickline,2781812.237,486240.004,99.581
E43,Ebrickline,2781872.663,486277.141,99.191
E44,Ebrickline,2781863.061,486273.516,99.167
E45,Ebrickline,2781861.065,486278.457,99.175
E57,Econtour,2781885.128,486287.842,99.08
E58,Econtour,2781883.641,486290.926,99.05
E59,Econtour,2781888.751,486289.051,98.603
E60,Econtour,2781888.378,486289.36,98.542
E61,Econtour,2781888.038,486290.42,98.356
E62,Econtour,2781887.858,486290.913,98.282
E63,Econtour,2781887.541,486291.688,98.189
E64,Econtour,2781887.184,486292.569,98.049
E65,Econtour,2781886.875,486293.249,97.938
E66,Econtour,2781886.456,486294.357,97.737
E67,Econtour,2781886.002,486295.759,97.457
E70,EROAD EDGE,2781868.092,486263.115,98.852
E71,EROAD EDGE,2781867.858,486260.653,98.882
E72,EROAD EDGE,2781866.082,486258.911,98.91
E73,EROAD EDGE,2781858.214,486251.431,99.172
E74,EROAD EDGE,2781857.457,486253.163,99.154
E75,EROAD EDGE,2781859.369,486254.761,99.064
E76,EROAD EDGE,2781861.852,486255.966,99.018
E77,EROAD EDGE,2781857.839,486264.787,98.998
E78,EROAD EDGE,2781856.404,486269.907,99.018
E79,EROAD EDGE,2781862.932,486273.003,99.026
E80,EROAD EDGE,2781873.066,486265.057,98.381
E81,EROAD EDGE,2781876.886,486260.918,97.712
E82,EROAD EDGE,2781878.549,486265.854,98.069
E83,EROAD EDGE,2781883.411,486261.059,97.166
E84,EROAD EDGE,2781879.23,486271.316,98.968
E85,EROAD EDGE,2781880.777,486268.267,98.602
E86,EROAD EDGE,2781884.029,486267.929,98.281
E87,EROAD EDGE,2781885.647,486264.721,97.885
H,CP,2781719.749,486381.701,100.322
II,CP,2781570.587,486328.531,101.606
H1,HROADEDGE,2781571.166,486329.07,101.596
H2,HROADEDGE,2781579.01,486328.923,101.666
H3,HROADEDGE,2781582.341,486333.791,101.792
H4,HROADEDGE,2781589.47,486332.871,101.584
H5,HROADEDGE,2781594.62,486338.835,101.538
H6,HROADEDGE,2781602.298,486337.89,101.363
H7,HROADEDGE,2781607.843,486343.605,101.235
H8,HROADEDGE,2781616.316,486343.221,101.091
H9,HROADEDGE,2781621.347,486348.537,100.965
H10,HROADEDGE,2781629.357,486348.29,100.752
H11,HROADEDGE,2781635.338,486353.946,100.677
H12,HROADEDGE,2781642.638,486353.436,100.588
H13,HROADEDGE,2781651.561,486360.195,100.524
H14,HROADEDGE,2781659.61,486359.894,100.364
H15,HROADEDGE,2781663.08,486364.584,100.298
H16,HROADEDGE,2781670.94,486364.383,100.189
H17,HROADEDGE,2781675.444,486369.273,100.116
H18,HROADEDGE,2781686.286,486370.219,99.924
H19,HROADEDGE,2781694.136,486373.131,99.891
H20,HROADEDGE,2781702.645,486375.355,99.994
H21,HROADEDGE,2781707.579,486375.673,99.961
H22,HROADEDGE,2781711.038,486375.243,99.954
H23,HROADEDGE,2781713.402,486379.037,100.112
H24,HROADEDGE,2781716.126,486378.251,100.119
H25,HROADEDGE,2781718.723,486376.748,100.192
H26,HROADEDGE,2781717.726,486372.879,100.102
H27,HROADEDGE,2781722.048,486373.843,100.257
H28,HROADEDGE,2781721.278,486369.566,100.17
H29,HROADEDGE,2781720.388,486375.401,100.234
H30,HROADEDGE,2781720.299,486375.44,100.236
H31,HROADEDGE,2781721.774,486369.051,100.2
H32,HROADEDGE,2781718.571,486367.134,100
H33,HROADEDGE,2781721.069,486362.104,99.558
H34,HROADEDGE,2781717.195,486362.046,99.409
H35,HROADEDGE,2781720.044,486358.266,99.312
H36,HROADEDGE,2781715.83,486357.018,99.319
H37,HROADEDGE,2781718.452,486352.363,99.376
H38,HROADEDGE,2781714.834,486353.445,99.372
H39,HROADEDGE,2781721.292,486363.041,99.787
H40,HROADEDGE,2781722.277,486363.512,100.072
H41,HROADEDGE,2781723.502,486363.773,100.085
H42,HROADEDGE,2781724.927,486361.745,100.02
H43,HROADEDGE,2781726.17,486358.511,99.859
H44,HROADEDGE,2781728.021,486362.398,100.01
H45,HROADEDGE,2781730.274,486356.166,99.735
H46,HROADEDGE,2781727.64,486354.177,99.725
H47,HROADEDGE,2781733.037,486348.714,99.499
H48,HROADEDGE,2781730.694,486346.386,99.482
H49,HROADEDGE,2781735.675,486341.482,99.294
H50,HROADEDGE,2781734.083,486336.947,99.296
H51,HROADEDGE,2781738.464,486334.09,99.25
H52,HROADEDGE,2781740.842,486328.024,99.17
H53,HROADEDGE,2781738.322,486326.229,99.184
H54,HROADEDGE,2781743.133,486322.481,99.073
H55,HROADEDGE,2781740.82,486319.906,99.085
H56,HROADEDGE,2781745.683,486315.353,99.004
H57,HROADEDGE,2781742.881,486314.411,99.048
H58,HROADEDGE,2781732.412,486336.585,99.299
H59,HROADEDGE,2781728.347,486335.707,99.285
H60,HROADEDGE,2781726.633,486336.238,99.319
H61,HROADEDGE,2781735.234,486325.359,99.255
H62,HROADEDGE,2781737.291,486326.388,99.199
H63,HROADEDGE,2781730.261,486380.412,100.274
H64,HROADEDGE,2781730.248,486382.803,100.219
H65,HROADEDGE,2781735.32,486385.559,100.195
H66,HROADEDGE,2781734.487,486382.199,100.248
H67,HROADEDGE,2781737.959,486383.723,100.248
H68,HROADEDGE,2781722.232,486384.469,100.527
H69,HROADEDGE,2781723.281,486388.913,100.928
H70,HROADEDGE,2781725.357,486388.442,100.896
H71,HROADEDGE,2781726.074,486391.363,101.166
A,CP,2781778.831,486211.503,95.875
B,CP,2781842.598,486176.469,96.476
A3,AFOUN,2781795.982,486200.193,95.764
A4,AFOUN,2781797.528,486200.889,95.813
A5,AFOUN,2781797.527,486200.886,95.813
A6,AFOUN,2781797.507,486200.889,95.812
A7,AFOUN,2781798.901,486200.771,95.796
A8,AFOUN,2781798.9,486200.762,95.793
A9,AFOUN,2781800.011,486200.073,95.79
A10,AFOUN,2781800.796,486198.241,95.743
A11,AFOUN,2781800.501,486196.642,95.668
A12,AFOUN,2781799.96,486196.015,95.642
A13,AFOUN,2781796.351,486195.641,95.648
A14,AFOUN,2781795.291,486199.302,95.767
A15,AFOUN,2781796.312,486200.453,95.816
A16,AROADEDGE,2781790.906,486185.192,95.398
A17,AROADEDGE,2781793.39,486183.975,95.322
A18,AROADEDGE,2781795.9,486182.858,95.327
A19,AROADEDGE,2781798.464,486182.238,95.32
A20,AROADEDGE,2781801.904,486181.741,95.376
A21,AROADEDGE,2781805.119,486182.212,95.39
A22,AROADEDGE,2781807.842,486183.385,95.471
A23,AROADEDGE,2781813.196,486187.322,95.631
A24,AROADEDGE,2781814.988,486189.227,95.695
A25,AROADEDGE,2781816.492,486191.424,95.751
A26,AROADEDGE,2781817.508,486193.657,95.804
A27,AROADEDGE,2781817.662,486201.644,95.991
A28,AROADEDGE,2781815.831,486205.063,96.09
A29,AROADEDGE,2781815.842,486205.162,96.091
A30,AROADEDGE,2781809.793,486209.548,96.184
A31,AROADEDGE,2781806.48,486210.531,96.206
A32,AROADEDGE,2781803.018,486210.758,96.219
A33,AROADEDGE,2781798.654,486210.671,96.225
A34,AROADEDGE,2781794.644,486210.58,96.225
A35,AROADEDGE,2781790.244,486210.296,96.16
A36,AROADEDGE,2781785.573,486209.196,96.022
A37,AROADEDGE,2781781.778,486206.966,95.85
A38,AROADEDGE,2781779.155,486202.43,95.693
A39,AROADEDGE,2781779.084,486198.954,95.598
A40,AROADEDGE,2781779.565,486195.737,95.55
A41,AROADEDGE,2781781.429,486192.5,95.509
A42,AROADEDGE,2781785.29,486188.849,95.485
A43,AROADEDGE,2781790.858,486185.187,95.429
A44,AROADEDGE,2781781.189,486213.809,96.013
A45,AROADEDGE,2781779.608,486216.403,96.02
A46,AROADEDGE,2781775.494,486213.863,95.883
A47,AROADEDGE,2781774.868,486213.541,95.865
A48,AROADEDGE,2781773.026,486210.604,95.86
A49,AROADEDGE,2781775.129,486209.335,95.763
A50,AROADEDGE,2781770.748,486202.172,95.522
A51,AROADEDGE,2781768.171,486203.898,95.434
A52,AROADEDGE,2781764.929,486198.187,95.261
A53,AROADEDGE,2781773.345,486192.893,95.369
A54,AROADEDGE,2781772.528,486191.627,95.404
A55,AROADEDGE,2781777.968,486187.809,95.368
A56,AROADEDGE,2781777.031,486186.236,95.333
A57,AROADEDGE,2781787.158,486180.009,95.295
A58,AROADEDGE,2781787.729,486180.532,95.31
A59,AROADEDGE,2781789.993,486172.396,95.203
A60,AROADEDGE,2781791.979,486171.096,95.191
A61,AROADEDGE,2781793.111,486172.818,95.194
A62,AROADEDGE,2781793.082,486172.816,95.194
A63,AROADEDGE,2781796.966,486171.21,95.167
A64,AROADEDGE,2781797.612,486170.508,95.154
A65,AROADEDGE,2781798.197,486167.164,95.129
A66,AROADEDGE,2781799.299,486168.845,95.117
A67,AROADEDGE,2781804.652,486163.415,94.951
A68,AROADEDGE,2781805.496,486159.891,94.9
A69,AROADEDGE,2781806.545,486161.481,94.909
A70,AROADEDGE,2781810.369,486157.629,94.81
A71,AROADEDGE,2781808.525,486154.688,94.816
A72,AROADEDGE,2781809.966,486153.214,94.796
A73,AROADEDGE,2781809.222,486153.684,94.803
A74,AROADEDGE,2781812.254,486156.683,94.746
A75,AROADEDGE,2781815.912,486159.592,94.78
A76,AROADEDGE,2781813.072,486156.813,94.76
A77,AROADEDGE,2781806.617,486169.033,95.056
A78,AROADEDGE,2781806.551,486172.511,95.16
A79,AROADEDGE,2781817.523,486184.064,95.619
A80,AROADEDGE,2781825.171,486192.234,95.862
A81,AROADEDGE,2781826.077,486192.334,95.868
A82,AROADEDGE,2781826.337,486192.128,95.869
A83,AROADEDGE,2781833.903,486197.14,95.871
A84,AROADEDGE,2781823.237,486212.534,96.245
A85,AROADEDGE,2781812.63,486214.3,96.287
A86,AROADEDGE,2781807.133,486214.936,96.317
A87,AROADEDGE,2781792.69,486216.152,96.265
A88,AROADEDGE,2781792.077,486216.566,96.278
A89,AROADEDGE,2781790.445,486219.356,96.323
A90,AROADEDGE,2781786.067,486216.703,96.181
J,CP,2781594.856,486258.729,100.565
I1,IROAD,2781574.05,486313.877,101.201
I2,IROAD,2781570.185,486325.425,101.537
I3,IROAD,2781566.248,486324.207,101.475
I4,IROAD,2781562.616,486323.27,101.454
I5,IROAD,2781554.957,486322.922,101.496
I6,IROAD,2781561.006,486326.388,101.452
I7,IROAD,2781564.421,486326.992,101.474
I8,IROAD,2781567.293,486327.709,101.525
I9,IROAD,2781575.017,486311.159,101.163
I10,IROAD,2781578.825,486300.871,100.898
I11,IROAD,2781574.816,486327.175,101.622
I12,IROAD,2781575.895,486324.069,101.477
I13,IROAD,2781579.351,486314.913,101.162
I14,IROAD,2781582.127,486307.087,100.857
I15,IROAD,2781583.525,486298.69,100.822
I16,IROAD,2781586.177,486291.372,100.883
I17,IROAD,2781584.529,486285.764,100.922
I18,IROAD,2781585.697,486299.335,100.717
D,CP,2781933.116,486274.102,97.787
E,CP,2781890.1,486286.031,99.098
DROAD1,DROAD,2781932.658,486286.402,98.447
DROAD2,DROAD,2781928.926,486286.853,98.504
DROAD3,DROAD,2781924.248,486284.318,98.531
DROAD4,DROAD,2781919.109,486284.541,98.669
DROAD5,DROAD,2781916.304,486282.443,98.76
DROAD6,DROAD,2781917.012,486279.279,98.739
DROAD7,DROAD,2781917.858,486275.71,98.721
DROAD8,DROAD,2781918.686,486273.422,98.546
DROAD9,DROAD,2781919.525,486269.711,98.514
DROAD10,DROAD,2781917.722,486270.418,98.497
DROAD11,DROAD,2781916.589,486275.445,98.713
DROAD12,DROAD,2781914.984,486282.026,98.767
DROAD13,DROAD,2781913.79,486281.887,98.776
DROAD14,DROAD,2781908.767,486280.726,98.851
DROAD15,DROAD,2781905,486281.4,98.919
DROAD16,DROAD,2781910.105,486282.539,98.839
J,CP,2781594.856,486258.729,100.565
K,CP,2781682.542,486296.744,96.552
I,CP,2781570.587,486328.531,101.606
P012,ROAD,2781602.791,486237.7,100.372
P013,ROAD,2781604.326,486241.798,100.393
P014,ROAD,2781598.764,486249.025,100.473
P015,ROAD,2781601.256,486250.457,100.477
P016,ROAD,2781599.432,486255.597,100.515
P017,ROAD,2781595.257,486265.169,100.697
P018,ROAD,2781595.234,486265.026,100.665
P019,ROAD,2781590.905,486269.5,100.703
P020,ROAD,2781592.768,486273.511,100.664
P021,ROAD,2781589.078,486282.739,100.784
L,CP,2781746.08,486251.584,97.082
B,CP,2781842.598,486176.469,96.476
A,CP,2781778.831,486211.503,95.875
B16,BPATHWAY,2781838.272,486174.015,96.618
B17,BPATHWAY,2781840.228,486172.214,96.61
B18,BPATHWAY,2781840.29,486172.284,96.607
B19,BPATHWAY,2781845.778,486167.284,96.589
B20,BPATHWAY,2781847.732,486165.492,96.587
B21,BPATHWAY,2781848.588,486166.443,96.564
B22,BPATHWAY,2781851.157,486164.09,96.564
B23,BPATHWAY,2781855.209,486160,96.547
B24,BPATHWAY,2781856.458,486161.347,96.515
B25,BPATHWAY,2781852.799,486164.622,96.518
B26,BPATHWAY,2781848.879,486168.232,96.53
B27,BPATHWAY,2781850.315,486169.876,96.491
B28,BPATHWAY,2781849.669,486170.376,96.496
B29,BPATHWAY,2781848.241,486168.804,96.534
B30,BPATHWAY,2781843.535,486173.016,96.521
B31,BPATHWAY,2781838.468,486177.496,96.549
B32,BPATHWAY,2781833.878,486181.67,96.565
B33,BPATHWAY,2781833.215,486182.185,96.567
B34,BPATHWAY,2781834.768,486183.832,96.52
B35,BPATHWAY,2781835.605,486183.346,96.507
B36,BPATHWAY,2781825.914,486188.734,96.591
B37,BPATHWAY,2781824.07,486186.724,96.661
B38,BPATHWAY,2781825.305,486185.804,96.621
B39,BPATHWAY,2781829.709,486181.728,96.618
B40,BPATHWAY,2781833.802,486180.072,96.603
B41,BPATHWAY,2781839.179,486175.107,96.582
B48,BROAD FDGE,2781836.018,486197.505,95.824
B49,BROAD EDGE,2781839.293,486200.205,95.802
B50,BROAD EDGE,2781840.524,486201.776,95.842
B51,BROAD EDGE,2781844.246,486205.957,96.004
B52,BROAD EDGE,2781849.425,486212.359,96.484
B53,BROAD EDGE,2781851.987,486222.842,97.339
B54,BROAD EDGE,2781852.973,486228.676,97.581
B55,BROAD EDGE,2781847.544,486231.569,98.112
B56,BROAD EDGE,2781846.813,486226.872,97.946
B57,BROAD EDGE,2781863.292,486225.356,96.596
B58,BROAD EDGE,2781886.481,486230.048,95.112
B59,BROAD EDGE,2781881.915,486223.601,95.653
B60,BROAD EDGE,2781861.193,486220.407,96.594
B61,BROAD EDGE,2781858.052,486216.754,96.863
B62,BROAD EDGE,2781853.845,486209.8,96.366
B63,BROAD EDGE,2781848.997,486203.468,95.933
B64,BROAD EDGE,2781843.75,486197.247,95.738
B65,BROAD EDGE,2781833.513,486186.792,95.835
C,CP,2781941.073,486248.62,90.16
D,CP,2781933.116,486274.104,97.787
C24,CROADEDGE,2781946.942,486245.407,89.788
C25,CROADEDGE,2781946.983,486243.687,89.747
C26,CROADEDGE,2781946.569,486244.876,89.827
C27,CROADEDGE,2781949.385,486246.192,89.61
C28,CROADEDGE,2781951.723,486246.987,89.455
C29,CROADEDGE,2781957.671,486249.03,88.973
C30,CROADEDGE,2781963.766,486251.109,88.538
C31,CROADEDGE,2781974.414,486254.708,88.088
C32,CROADEDGE,2781982.159,486257.331,87.892
C33,CROADEDGE,2781989.71,486259.869,87.728
C34,CROADEDGE,2782000.51,486263.438,87.747
C35,CROADEDGE,2782009.162,486266.334,87.852
C36,CROADEDGE,2782020.079,486270.885,87.942
C37,CROADEDGE,2782043.539,486278.388,87.597
C38,CROADEDGE,2782042.866,486278.609,87.619
C39,CROADEDGE,2782040.448,486278.445,87.59
C40,CROADEDGE,2782040.023,486279.566,87.58
C41,CROADEDGE,2782035.45,486279.841,87.64
C42,CROADEDGE,2781977.08,486261.222,87.915
C43,CROADEDGE,2781970.418,486258.976,88.162
C44,CROADEDGE,2781959.963,486255.48,88.713
C45,CROADEDGE,2781945.655,486250.654,89.726
C46,CROADEDGE,2781948.495,486251.618,89.524
C47,CROADEDGE,2781953.901,486253.41,89.147
C48,CROADEDGE,2781937.206,486247.752,90.475
C49,CROADEDGE,2781925.374,486243.749,91.65
C50,CROADEDGE,2781943.881,486244.147,90.388
C51,CROADEDGE,2781939.787,486242.903,90.608
C52,CROADEDGE,2781943.851,486244.151,90.043
C53,CROADEDGE,2781940.773,486243.24,90.367
C54,CROADEDGE,2781938.416,486242.448,90.593
C55,CROADEDGE,2781936.405,486241.771,90.835
C56,CROADEDGE,2781934.101,486240.97,91.109
C57,CROADEDGE,2781931.282,486240.003,91.343
C58,CROADEDGE,2781928.596,486239.085,91.524
C59,CROADEDGE,2781925.333,486237.998,91.743
C60,CROADEDGE,2781924.584,486237.739,91.795
C61,CROADEDGE,2781919.327,486234.404,92.238
C62,CROADEDGE,2781918.558,486235.374,92.352
C63,CROADEDGE,2781917.031,486235.125,92.553
C64,CROADEDGE,2781901.454,486229.864,93.799
C65,CROADEDGE,2781896.251,486228.12,94.214
C66,CROADEDGE,2781888.947,486225.685,94.95
C67,CROADEDGE,2781882.585,486223.685,95.611
